Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.3160           2.2482      -5.3054       7.5536  1082.2
0.3170           2.2289      -5.2342       7.4631  1069.2
0.3180           2.2355      -5.1592       7.3947  1059.4
0.3190           2.2002      -5.0834       7.2836  1043.5
0.3200           2.1824      -5.0081       7.1905  1030.2
0.3210           2.1751      -4.9349       7.1100  1018.6
0.3220           2.2065      -4.8648       7.0713  1013.1
0.3230           2.1973      -4.7999       6.9973  1002.5
0.3240           2.1685      -4.7382       6.9066   989.5
0.3250           2.1651      -4.6827       6.8478   981.1
0.3260           2.1825      -4.6376       6.8201   977.1
0.3270           2.1758      -4.6049       6.7807   971.4
0.3280           2.1865      -4.5879       6.7744   970.5
0.3290           2.1584      -4.5835       6.7420   965.9
0.3300           2.1584      -4.5933       6.7517   967.3
0.3310           2.1775      -4.6160       6.7936   973.3
0.3320           2.1634      -4.6491       6.8125   976.0
0.3330           2.1177      -4.6895       6.8072   975.2
0.3340           2.1057      -4.7318       6.8375   979.6
0.3350           2.0965      -4.7727       6.8692   984.1
0.3360           2.0905      -4.8121       6.9025   988.9
0.3370           2.0824      -4.8442       6.9266   992.3
0.3380           2.0782      -4.8662       6.9444   994.9
0.3390           2.0689      -4.8794       6.9483   995.5
0.3400           2.0490      -4.8834       6.9324   993.2
0.3410           2.0533      -4.8798       6.9331   993.3
0.3420           2.0182      -4.8716       6.8898   987.1
0.3430           2.0228      -4.8619       6.8846   986.3
0.3440           2.0255      -4.8530       6.8785   985.5
0.3450           1.9788      -4.8472       6.8260   977.9
0.3460           1.9627      -4.8460       6.8086   975.4
0.3470           1.9524      -4.8552       6.8077   975.3
0.3480           1.9359      -4.8803       6.8162   976.5
0.3490           1.9384      -4.9199       6.8583   982.6
0.3500           1.9607      -4.9757       6.9364   993.7
0.3510           1.9701      -5.0496       7.0197  1005.7
0.3520           1.9496      -5.1417       7.0913  1015.9
0.3530           1.9945      -5.2508       7.2453  1038.0
0.3540           1.9852      -5.3755       7.3607  1054.5
0.3550           2.0286      -5.5132       7.5418  1080.5
0.3560           2.0163      -5.6570       7.6732  1099.3
0.3570           2.0542      -5.8028       7.8570  1125.6
0.3580           2.0736      -5.9449       8.0185  1148.8
0.3590           2.0784      -6.0787       8.1571  1168.6
0.3600           2.0413      -6.1976       8.2389  1180.4
0.3610           1.9527      -6.2968       8.2495  1181.9
0.3620           1.9348      -6.3721       8.3069  1190.1
0.3630           1.8890      -6.4231       8.3121  1190.8
0.3640           1.9322      -6.4491       8.3813  1200.7
0.3650           1.9232      -6.4520       8.3753  1199.9
0.3660           1.9413      -6.4356       8.3769  1200.1
0.3670           1.9645      -6.4016       8.3661  1198.6
0.3680           1.9252      -6.3553       8.2804  1186.3
0.3690           1.9022      -6.3016       8.2038  1175.3
0.3700           1.8927      -6.2416       8.1343  1165.4
0.3710           1.8647      -6.1806       8.0453  1152.6
0.3720           1.8309      -6.1241       7.9550  1139.7
0.3730           1.8601      -6.0717       7.9319  1136.4
0.3740           1.8691      -6.0241       7.8932  1130.8
0.3750           1.8283      -5.9780       7.8063  1118.4
0.3760           1.7941      -5.9337       7.7278  1107.1
0.3770           1.7867      -5.8893       7.6761  1099.7
0.3780           1.7384      -5.8451       7.5835  1086.5
0.3790           1.7540      -5.8039       7.5579  1082.8
0.3800           1.7607      -5.7638       7.5245  1078.0
0.3810           1.7481      -5.7259       7.4739  1070.8
0.3820           1.7233      -5.6923       7.4156  1062.4
0.3830           1.7033      -5.6609       7.3642  1055.0
0.3840           1.6786      -5.6339       7.3126  1047.6
0.3850           1.6887      -5.6096       7.2984  1045.6
0.3860           1.6546      -5.5863       7.2410  1037.4
0.3870           1.6355      -5.5648       7.2003  1031.6
0.3880           1.5487      -5.5480       7.0967  1016.7
0.3890           1.5270      -5.5372       7.0643  1012.1
0.3900           1.5121      -5.5377       7.0497  1010.0
0.3910           1.4809      -5.5538       7.0347  1007.8
0.3920           1.5185      -5.5884       7.1070  1018.2
0.3930           1.5168      -5.6398       7.1566  1025.3
0.3940           1.5337      -5.7069       7.2406  1037.3
0.3950           1.5033      -5.7868       7.2902  1044.4
0.3960           1.4764      -5.8676       7.3440  1052.1
0.3970           1.4574      -5.9410       7.3984  1059.9
0.3980           1.4316      -5.9992       7.4308  1064.6
0.3990           1.4304      -6.0346       7.4650  1069.5
0.4000           1.4232      -6.0432       7.4663  1069.7
