time_ps,mlp_force_sum,mha_force_sum,conv_force_sum,comb_force_sum,MACE_force_sum
0.016,2.5041045e-06,1.4858819e-06,4.2353126e-06,1.8506258e-06,1.105605998782227e-14
0.0165,2.6212495e-06,1.7295781e-06,1.5335894e-06,3.3165045e-06,1.495672746252927e-14
0.017,1.468804e-06,2.140616e-06,2.6232817e-06,3.781021e-06,6.2842938400131246e-15
0.0175,1.7626254e-06,2.7950007e-06,2.315393e-06,3.5267622e-06,1.2204881220998686e-14
0.018,7.980125e-07,4.791876e-06,3.7801988e-06,2.6394832e-06,6.482219462087268e-15
0.0185,3.2733751e-06,1.5812267e-06,2.705946e-06,1.5219623e-06,1.2947314098277875e-15
0.019,9.142078e-07,3.7304426e-06,2.1729143e-06,1.4217926e-06,4.588324902193147e-15
0.0195,2.2093955e-06,1.3703399e-06,1.5882149e-06,2.9151486e-06,1.1869005912045499e-14
0.02,2.482911e-06,4.8925544e-06,2.6016933e-06,1.8895706e-06,8.221649397543381e-15
0.0205,2.3247721e-06,1.6464309e-06,5.144333e-06,2.7294761e-06,1.21907341441216e-14
0.021,1.7400575e-06,3.5988387e-06,3.4673308e-06,2.5400252e-06,1.0626290181027496e-14
0.0215,2.0390103e-06,2.5364495e-06,3.8683656e-06,1.3799473e-06,8.94263799260487e-15
0.022,1.5781167e-06,3.974031e-06,1.7410781e-06,3.1137365e-06,9.628264761373826e-15
0.0225,1.279766e-06,2.0523612e-06,4.1660405e-06,3.959561e-06,9.18537636701491e-15
0.023,1.4070358e-06,1.728615e-06,1.1214547e-06,3.6182523e-06,2.1437943768027378e-14
0.0235,1.8088807e-06,4.670713e-06,4.4445446e-06,2.9998373e-06,2.9036099814798757e-15
0.024,1.6963779e-06,2.361211e-06,5.9901924e-07,2.7988808e-06,7.916910010233677e-15
0.0245,8.0245206e-07,2.1639544e-06,4.4909884e-06,4.2703723e-06,1.1348738640438163e-14
0.025,1.7451543e-06,3.0634483e-06,2.0494379e-06,1.4600097e-06,9.342379974702297e-15
0.0255,1.8091262e-06,2.1218464e-06,2.5603995e-06,2.348907e-06,1.7727449425041963e-14
0.026,2.10671e-06,4.253231e-06,1.6018575e-06,3.465281e-06,1.2123310084460835e-14
0.0265,1.808144e-06,1.860334e-06,2.6697626e-06,2.6334192e-06,1.0293390128256926e-14
0.027,3.8123683e-06,1.9184665e-06,2.9516339e-06,4.968683e-06,6.579418072596012e-15
0.0275,2.069921e-06,1.7021316e-06,3.2127125e-06,2.1827022e-06,1.6329338992021266e-14
0.028,1.3542852e-06,1.3317223e-06,4.2824445e-06,2.7242647e-06,1.869036638337578e-14
0.0285,2.8666054e-06,2.5097095e-06,3.5126307e-06,1.7026492e-06,1.2214976244412755e-14
0.029,1.8766e-06,1.6811299e-06,2.1799028e-06,1.5277869e-06,1.2390805207033134e-14
0.0295,2.3619164e-06,3.8474222e-06,3.3314677e-06,4.7594226e-06,1.9093253934970332e-14
0.03,2.3253451e-06,2.3061323e-06,2.7288254e-06,6.8126833e-06,1.3882671929668598e-14
0.0305,8.6836826e-07,1.4133341e-06,3.7302045e-06,3.104023e-06,7.384443789033974e-15
0.031,1.6774234e-06,2.2208012e-06,2.6064683e-06,1.2331104e-06,1.0337005117659315e-14
0.0315,2.2557424e-06,2.0436332e-06,1.365714e-06,3.0948531e-06,1.1129397471172595e-14
0.032,2.697069e-06,3.450158e-06,3.234616e-06,4.2302504e-06,7.937900528762522e-15
0.0325,5.9901924e-07,2.9894939e-06,2.773418e-06,1.6004707e-06,1.8315651775059366e-14
0.033,1.2291426e-06,1.0221426e-06,2.8109137e-06,1.8961398e-06,8.055048693485857e-15
0.0335,8.5236724e-07,1.8882334e-06,3.9803954e-06,2.0124844e-06,9.257555929146552e-15
0.034,1.4283368e-06,2.7253675e-06,2.701059e-06,1.5781167e-06,6.866350197783356e-15
0.0345,1.8711492e-06,2.5888596e-06,2.467706e-06,1.9768624e-06,1.5744042923036473e-14
0.035,7.974558e-07,2.8527065e-06,2.7054534e-06,1.596025e-06,1.2430532161181423e-14
0.0355,3.132648e-06,2.5038385e-06,3.7128718e-06,4.1243657e-06,3.2406343207394936e-15
0.036,1.9113027e-06,4.4221065e-06,2.1665694e-06,2.6815467e-06,1.5107602278104822e-14
0.0365,2.0144694e-06,2.4396527e-06,1.9001171e-06,4.1209187e-06,8.126650534443547e-15
