Frame,Hydrogen,Donor,Acceptor(s),Donor-Hydrogen Distance,Hydrogen-Acceptor(s) Distance(s),Donor-Acceptor(s) Distance(s),Angle(A-H-D)
0,187,186,[np.int64(177)],0.9685650182627086,[np.float64(2.3486712656362845)],[np.float64(3.1326027816569737)],[np.float64(137.58298065136398)]
0,188,186,,0.9685650182627125,,,
0,190,189,[np.int64(198)],0.9685650182627596,[np.float64(2.3022596359738587)],[np.float64(2.997611892418865)],[np.float64(128.0235944405022)]
0,191,189,,0.9685650182627553,,,
0,193,192,,0.9685650182626796,,,
0,194,192,,0.9685650182627649,,,
0,196,195,[np.int64(168)],0.9685650182625765,[np.float64(2.3643220933833557)],[np.float64(3.2678066024266195)],[np.float64(154.98620247965)]
0,197,195,[np.int64(51)],0.9685650182625651,[np.float64(2.2060695882963697)],[np.float64(2.9411634617897824)],[np.float64(131.7495237816395)]
0,199,198,[np.int64(171)],0.9685650182627114,[np.float64(2.367292176222905)],[np.float64(2.9840994505566387)],[np.float64(121.01197960235321)]
0,200,198,,0.9685650182627055,,,
0,202,201,[np.int64(192)],0.9685650182627488,[np.float64(2.2198547380255262)],[np.float64(3.166460610451634)],[np.float64(165.36344402294947)]
0,203,201,,0.9685650182626484,,,
0,205,204,,0.9685650182625144,,,
0,206,204,[np.int64(231)],0.9685650182625949,[np.float64(2.0427125875906924)],[np.float64(2.958363628430347)],[np.float64(156.95131140039257)]
0,208,207,,0.9685650182627188,,,
0,209,207,[np.int64(198)],0.9685650182627179,[np.float64(2.2633911161916007)],[np.float64(3.215102444150446)],[np.float64(167.21773699318874)]
0,211,210,[np.int64(213)],0.9685650182627287,[np.float64(1.6251889542017726)],[np.float64(2.5432385280938488)],[np.float64(156.5737842655046)]
0,212,210,[np.int64(237)],0.9685650182627247,[np.float64(2.090543034434893)],[np.float64(2.9430777969996282)],[np.float64(145.8964909336544)]
0,214,213,[np.int64(288)],0.9685650182625719,[np.float64(2.2854857528813732)],[np.float64(3.2334653076664237)],[np.float64(165.8913219332729)]
0,215,213,,0.9685650182625786,,,
0,217,216,[np.int64(219)],0.9685650182625545,[np.float64(2.354760328274463)],[np.float64(3.1365097698357682)],[np.float64(137.34415876846498)]
