Frame,Donor,Acceptor,Distance
50,336,345,3.0001685425360667
50,339,366,2.8030391650208593
50,339,414,3.0744005738785942
50,342,345,2.997311109873886
50,342,369,2.914661872700158
50,345,489,2.7644883779666
50,345,372,2.7035317393633336
50,351,354,2.9343289354906577
50,351,438,2.779640100823014
50,354,534,3.1565394605574233
50,354,327,2.6325463140634118
50,357,330,2.8584222093077205
50,357,432,2.856324174567482
50,363,354,2.8710998382062916
50,363,366,2.942105583095148
50,366,357,2.9284599824301187
50,366,393,2.8675622572619166
50,369,456,2.7192466476216035
50,372,399,3.0183119513881684
50,372,363,2.7748489500199427
50,378,381,2.7625833309231496
50,378,558,2.9012385654172217
50,387,378,2.8636000156372465
50,387,360,3.2057741379276354
50,390,363,3.2889724199010013
50,393,384,2.9373546111421147
50,396,399,2.7696596494698627
50,399,21,2.891818204628371
50,399,390,2.891128009489734
50,405,330,2.8152858128051164
50,408,411,3.046015872628226
50,408,138,3.3062088150290636
50,411,141,2.7529015200164926
50,414,441,3.0210050636793486
50,414,417,2.6053260993152536
50,417,420,2.7228693187453237
50,417,426,2.7731424857879032
50,420,447,2.769682418423486
50,420,411,2.817514748421371
50,423,567,2.7944411671913643
50,426,156,3.047978574235925
50,429,159,2.947596225452336
50,432,441,2.8088469147601085
50,435,444,2.837132650175049
50,435,408,2.6003721943887688
50,438,465,2.5286181949282596
50,444,453,2.693299526089657
50,444,441,2.9633004105740177
50,447,474,3.0926762477132956
50,453,597,2.7896200106281626
50,453,450,2.8346270442894896
50,456,600,3.113329957417059
50,459,462,2.7508493086293226
50,459,81,2.820334700404912
50,462,471,2.842247590193063
50,465,645,2.923287581674845
50,468,459,2.692022122877641
50,468,393,2.822554486678181
50,471,468,3.2055582539078378
50,471,480,2.8769877439338254
50,474,96,3.0526107809428003
50,474,471,2.65239427174208
50,480,102,3.02971748487263
50,483,627,3.0507886146811627
50,486,342,3.110271278920478
50,486,513,2.9842687009775513
50,489,486,2.832905821025024
50,489,219,2.736794249259072
50,495,504,2.869325027543006
50,498,228,2.8482581583772593
50,498,495,2.897185616295257
50,501,528,2.996861346511638
50,504,507,2.715542317132921
50,504,531,2.6332114209024216
50,507,534,2.8894601921282947
50,507,510,2.884135245396165
50,510,240,2.9486656066007964
50,513,369,2.7670600335148943
50,519,594,2.908871236747417
50,522,513,2.7095454329962765
50,522,549,2.8992992771692467
50,525,522,2.9205656147705867
50,525,534,2.844719912016941
50,528,537,2.980773806754865
50,528,555,3.2358836780291487
50,531,351,2.7435510457514924
50,531,618,2.8064107306232295
50,534,561,3.2574497647999894
50,534,531,2.691819404631915
50,540,543,2.8527407981875657
50,540,162,2.606991764588836
50,543,516,2.862896075437712
50,546,168,3.2641747570031687
50,546,555,3.1050602584128133
50,549,540,2.6618377772956325
50,552,549,2.877741011887989
50,552,525,3.0877730785362747
50,555,177,2.5696184483870894
50,555,564,3.0308052758515713
50,558,645,2.707737410902217
50,561,183,3.118531268633364
