O index,H index,distance
285,287,0.9685650182625941
288,289,0.9685650182627185
288,290,0.9685650182627319
291,292,0.968565018262735
291,293,0.9685650182627324
294,295,0.9685650182625631
294,296,0.9685650182625695
297,298,0.9685650182625644
297,299,0.9685650182626533
300,301,0.9685650182627428
300,302,0.9685650182627412
303,304,0.9685650182627413
303,305,0.968565018262647
306,307,0.968565018262512
306,308,0.9685650182625125
309,310,0.9685650182627479
309,311,0.968565018262745
312,313,0.9685650182627373
312,314,0.9685650182626603
315,316,0.968565018262576
315,317,0.9685650182624921
318,319,0.9685650182627431
318,320,0.9685650182627362
321,322,0.9685650182626528
321,323,0.9685650182626605
324,325,0.9685650182625798
324,326,0.9685650182625799
327,328,0.9685650182625074
327,329,0.9685650182624996
330,331,0.9685650182625593
330,332,0.9685650182625615
333,334,0.9685650182627453
333,335,0.9685650182626624
336,337,0.9685650182627592
336,338,0.9685650182627529
339,340,0.968565018262652
339,341,0.9685650182626577
342,343,0.9685650182627631
342,344,0.9685650182626776
345,346,0.9685650182627643
345,347,0.9685650182627665
348,349,0.9685650182627221
348,350,0.9685650182627261
351,352,0.9685650182626026
351,353,0.9685650182625963
354,355,0.9685650182627543
354,356,0.9685650182627377
357,358,0.968565018262599
357,359,0.9685650182625807
360,361,0.9685650182627167
360,362,0.9685650182627229
363,364,0.96856501826272
363,365,0.9685650182627138
366,367,0.9685650182625094
366,368,0.9685650182626067
369,370,0.9685650182626534
369,371,0.968565018262735
372,373,0.9685650182627605
372,374,0.9685650182627509
375,376,0.9685650182625688
375,377,0.9685650182625745
378,379,0.9685650182625798
378,380,0.9685650182626757
381,382,0.9685650182627384
381,383,0.9685650182627407
384,385,0.9685650182627386
384,386,0.9685650182626456
387,388,0.9685650182625123
387,389,0.9685650182626031
390,391,0.9685650182627428
390,392,0.9685650182627421
393,394,0.9685650182627386
393,395,0.9685650182626593
396,397,0.9685650182625551
396,398,0.9685650182625629
399,400,0.9685650182627524
399,401,0.9685650182627453
402,403,0.9685650182627172
402,404,0.9685650182627148
405,406,0.968565018262547
405,407,0.9685650182625604
408,409,0.968565018262444
408,410,0.9685650182624411
411,412,0.9685650182626533
411,413,0.9685650182627473
414,415,0.9685650182627235
414,416,0.9685650182627433
417,418,0.968565018262669
417,419,0.9685650182627559
420,421,0.9685650182627271
420,422,0.9685650182627242
423,424,0.9685650182627501
423,425,0.968565018262656
426,427,0.9685650182627521
426,428,0.9685650182627477
429,430,0.9685650182627079
429,431,0.9685650182627126
432,433,0.9685650182627493
432,434,0.9685650182627323
435,436,0.968565018262764
435,437,0.9685650182627409
438,439,0.9685650182625977
438,440,0.9685650182625805
441,442,0.9685650182627227
441,443,0.9685650182627223
444,445,0.9685650182627139
444,446,0.9685650182627185
447,448,0.9685650182625111
447,449,0.968565018262518
450,451,0.9685650182627331
450,452,0.9685650182627271
453,454,0.9685650182627517
453,455,0.9685650182626581
456,457,0.9685650182625636
456,458,0.9685650182625692
459,460,0.9685650182625658
459,461,0.9685650182626572
462,463,0.9685650182627388
462,464,0.968565018262743
465,466,0.9685650182627731
465,467,0.9685650182625859
468,469,0.9685650182625871
468,470,0.9685650182625869
471,472,0.9685650182627475
471,473,0.9685650182627493
474,475,0.9685650182627364
474,476,0.9685650182626582
477,478,0.9685650182625634
477,479,0.9685650182625778
480,481,0.9685650182627569
480,482,0.9685650182627483
483,484,0.9685650182627269
483,485,0.9685650182627219
486,487,0.9685650182627213
486,488,0.9685650182627296
489,490,0.9685650182625876
489,491,0.9685650182625826
492,493,0.9685650182627349
492,494,0.9685650182627406
495,496,0.9685650182627111
495,497,0.9685650182627275
498,499,0.9685650182627485
498,500,0.9685650182627357
501,502,0.968565018262747
501,503,0.9685650182626568
504,505,0.9685650182627422
504,506,0.968565018262648
507,508,0.9685650182626762
507,509,0.9685650182627715
510,511,0.9685650182627411
510,512,0.9685650182627414
513,514,0.968565018262759
513,515,0.9685650182627447
516,517,0.9685650182627649
516,518,0.9685650182627495
519,520,0.9685650182625835
519,521,0.9685650182625661
522,523,0.9685650182625676
522,524,0.9685650182625652
525,526,0.9685650182627288
525,527,0.9685650182627331
528,529,0.96856501826258
528,530,0.9685650182625856
531,532,0.9685650182627434
531,533,0.968565018262736
534,535,0.9685650182627393
534,536,0.9685650182627364
537,538,0.9685650182624136
537,539,0.9685650182624086
540,541,0.9685650182625624
540,542,0.9685650182626468
543,544,0.968565018262646
543,545,0.9685650182626543
546,547,0.9685650182627593
546,548,0.9685650182626678
549,550,0.9685650182625903
549,551,0.9685650182625865
552,553,0.9685650182627443
552,554,0.9685650182627437
555,556,0.9685650182627578
555,557,0.968565018262681
558,559,0.9685650182625664
558,560,0.9685650182625879
561,562,0.9685650182626689
561,563,0.9685650182627675
564,565,0.968565018262721
564,566,0.968565018262716
567,568,0.9685650182627245
567,569,0.9685650182627401
570,571,0.9685650182625807
570,572,0.9685650182625819
573,574,0.9685650182627195
573,575,0.9685650182627271
576,577,0.9685650182627131
576,578,0.9685650182627386
579,580,0.9685650182627417
579,581,0.9685650182627311
582,583,0.9685650182627249
582,584,0.9685650182627241
585,586,0.9685650182625958
585,587,0.9685650182625176
588,589,0.9685650182627417
588,590,0.9685650182627412
591,592,0.9685650182627077
591,593,0.9685650182627117
594,595,0.96856501826275
594,596,0.9685650182627379
597,598,0.9685650182626777
597,599,0.9685650182627606
600,601,0.9685650182625776
600,602,0.9685650182625747
603,604,0.968565018262714
603,605,0.9685650182627091
606,607,0.968565018262716
606,608,0.9685650182627145
609,610,0.9685650182625754
609,611,0.9685650182625749
612,613,0.9685650182626498
612,614,0.9685650182627469
615,616,0.9685650182627418
615,617,0.9685650182627326
618,619,0.968565018262571
618,620,0.9685650182625734
621,622,0.9685650182624905
621,623,0.9685650182625848
624,625,0.9685650182627153
624,626,0.9685650182627208
627,628,0.9685650182627581
627,629,0.9685650182626632
630,631,0.968565018262513
630,632,0.9685650182626075
633,634,0.9685650182627272
633,635,0.9685650182627243
636,637,0.9685650182627724
636,638,0.968565018262584
639,640,0.9685650182625851
639,641,0.9685650182624936
642,643,0.9685650182627498
642,644,0.9685650182627396
645,646,0.9685650182627251
645,647,0.9685650182627238
